sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
  ;50  ;1  ;1.0873e+06  ;-9.6822e+07  ;1.8378e+09  ;2.4722e+07  ;1.8414e+09
  ;  ;2  ;1.0903e+06  ;-1.4514e+08  ;2.6487e+09  ;2.4722e+07  ;2.6538e+09
  ;51  ;1  ;5.0684e+07  ;-8.1621e+07  ;1.9335e+09  ;1.6883e+07  ;1.9859e+09
  ;  ;2  ;5.0687e+07  ;-5.6882e+07  ;1.501e+09  ;1.6883e+07  ;1.5527e+09
  ;52  ;1  ;5.0687e+07  ;-5.6882e+07  ;1.501e+09  ;1.6883e+07  ;1.5527e+09
  ;  ;2  ;5.0689e+07  ;-3.214e+07  ;1.0684e+09  ;1.6883e+07  ;1.1196e+09
  ;53  ;1  ;5.0689e+07  ;-3.214e+07  ;1.0684e+09  ;1.6883e+07  ;1.1196e+09
  ;  ;2  ;5.0692e+07  ;-7.395e+06  ;6.359e+08  ;1.6883e+07  ;6.8663e+08
  ;54  ;1  ;5.0692e+07  ;-7.3747e+06  ;6.359e+08  ;1.6882e+07  ;6.8663e+08
  ;  ;2  ;5.0695e+07  ;1.7358e+07  ;2.0336e+08  ;1.6882e+07  ;2.5479e+08
  ;55  ;1  ;5.0695e+07  ;1.7351e+07  ;2.0336e+08  ;1.6882e+07  ;2.5479e+08
  ;  ;2  ;5.0698e+07  ;4.2101e+07  ;-2.2917e+08  ;1.6882e+07  ;2.837e+08
  ;56  ;1  ;3.7427e+07  ;-5.8184e+07  ;-1.8679e+08  ;-1.9592e+07  ;2.3307e+08
  ;  ;2  ;3.743e+07  ;-2.0673e+07  ;-1.7062e+08  ;-1.9592e+07  ;2.0929e+08
  ;57  ;1  ;3.743e+07  ;-2.0673e+07  ;-1.7062e+08  ;-1.9592e+07  ;2.0929e+08
  ;  ;2  ;3.7433e+07  ;1.6841e+07  ;-1.5443e+08  ;-1.9592e+07  ;1.9278e+08
  ;58  ;1  ;3.7433e+07  ;1.6841e+07  ;-1.5443e+08  ;-1.9592e+07  ;1.9278e+08
  ;  ;2  ;3.7436e+07  ;5.4359e+07  ;-1.3824e+08  ;-1.9592e+07  ;1.8598e+08
  ;59  ;1  ;3.7436e+07  ;5.4356e+07  ;-1.3824e+08  ;-1.9592e+07  ;1.8598e+08
  ;  ;2  ;3.7439e+07  ;9.1877e+07  ;-1.2205e+08  ;-1.9592e+07  ;1.902e+08
  ;60  ;1  ;3.7439e+07  ;9.1878e+07  ;-1.2204e+08  ;-1.9592e+07  ;1.902e+08
  ;  ;2  ;3.7443e+07  ;1.294e+08  ;-1.0584e+08  ;-1.9592e+07  ;2.0462e+08
