sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
  ;  ;2  ;1.7928e+05  ;1,388.2  ;4,844.9  ;2.4888  ;-0.29805  ;-3.6907
Beam-8(Circuler tube 1X0.06(16_GAUGE)(1)[1])  ;  ;  ;  ;  ;  ;  ;  ;
  ;71  ;1  ;10,098  ;392.44  ;621.76  ;-48.591  ;60.901  ;23.534
  ;  ;2  ;-10,098  ;-392.44  ;-621.76  ;23.721  ;-45.203  ;-23.534
  ;72  ;1  ;10,098  ;392.44  ;621.76  ;-23.721  ;45.203  ;23.534
  ;  ;2  ;-10,099  ;-392.44  ;-621.76  ;-1.1492  ;-29.506  ;-23.534
  ;73  ;1  ;10,099  ;392.44  ;621.76  ;1.1492  ;29.506  ;23.534
  ;  ;2  ;-10,099  ;-392.44  ;-621.76  ;-26.019  ;-13.808  ;-23.534
  ;74  ;1  ;10,099  ;392.44  ;621.76  ;26.019  ;13.808  ;23.534
  ;  ;2  ;-10,099  ;-392.44  ;-621.76  ;-50.89  ;1.8898  ;-23.534
  ;75  ;1  ;10,099  ;392.44  ;621.76  ;50.89  ;-1.8898  ;23.534
  ;  ;2  ;-10,100  ;-392.44  ;-621.76  ;-75.76  ;17.588  ;-23.534
Beam-9(Circuler tube 1X0.06(16_GAUGE)(6)[4])  ;  ;  ;  ;  ;  ;  ;  ;
  ;76  ;1  ;-16,491  ;-402.09  ;70.085  ;-23.949  ;-60.413  ;46.833
  ;  ;2  ;16,491  ;402.09  ;-69.715  ;20.995  ;43.42  ;-46.833
  ;77  ;1  ;-16,491  ;-402.09  ;69.715  ;-20.995  ;-43.42  ;46.833
  ;  ;2  ;16,491  ;402.09  ;-69.345  ;18.057  ;26.427  ;-46.833
  ;78  ;1  ;-16,491  ;-402.08  ;69.335  ;-18.057  ;-26.427  ;46.833
  ;  ;2  ;16,491  ;402.08  ;-68.965  ;15.135  ;9.4337  ;-46.833
  ;79  ;1  ;-16,491  ;-402.08  ;68.965  ;-15.135  ;-9.4337  ;46.833
  ;  ;2  ;16,491  ;402.08  ;-68.595  ;12.228  ;-7.5591  ;-46.833
  ;80  ;1  ;-16,491  ;-402.09  ;68.595  ;-12.228  ;7.5591  ;46.833
  ;  ;2  ;16,491  ;402.09  ;-68.225  ;9.3367  ;-24.552  ;-46.833
  ;81  ;1  ;-16,491  ;-402.09  ;68.226  ;-9.3367  ;24.552  ;46.833
  ;  ;2  ;16,490  ;402.09  ;-67.856  ;6.4612  ;-41.545  ;-46.833
  ;82  ;1  ;-16,490  ;-402.08  ;67.855  ;-6.4612  ;41.545  ;46.833
  ;  ;2  ;16,490  ;402.08  ;-67.485  ;3.6013  ;-58.538  ;-46.833
  ;83  ;1  ;-16,490  ;-402.09  ;67.497  ;-3.6013  ;58.538  ;46.833
  ;  ;2  ;16,490  ;402.09  ;-67.128  ;0.75655  ;-75.531  ;-46.833
  ;84  ;1  ;-16,490  ;-402.09  ;67.116  ;-0.7566  ;75.531  ;46.833
  ;  ;2  ;16,490  ;402.09  ;-66.746  ;-2.072  ;-92.524  ;-46.833
  ;85  ;1  ;-16,490  ;-402.08  ;66.744  ;2.072  ;92.524  ;46.833
  ;  ;2  ;16,490  ;402.08  ;-66.374  ;-4.8849  ;-109.52  ;-46.833
  ;86  ;1  ;-16,490  ;-402.09  ;66.376  ;4.885  ;109.52  ;46.833
  ;  ;2  ;16,490  ;402.09  ;-66.007  ;-7.6823  ;-126.51  ;-46.833
  ;87  ;1  ;-16,490  ;-402.08  ;66.018  ;7.6827  ;126.51  ;46.833
  ;  ;2  ;16,490  ;402.08  ;-65.648  ;-10.465  ;-143.5  ;-46.833
  ;88  ;1  ;-16,490  ;-402.08  ;65.622  ;10.464  ;143.5  ;46.833
  ;  ;2  ;16,490  ;402.08  ;-65.252  ;-13.229  ;-160.5  ;-46.833
  ;89  ;1  ;-16,490  ;-402.09  ;65.264  ;13.23  ;160.5  ;46.833
  ;  ;2  ;16,490  ;402.09  ;-64.894  ;-15.98  ;-177.49  ;-46.833
Beam-10(Circuler tube 1X0.06(16_GAUGE)(1)[4])  ;  ;  ;  ;  ;  ;  ;  ;
  ;90  ;1  ;-517.11  ;553.68  ;2,977.7  ;305.57  ;-40.911  ;-43.701
  ;  ;2  ;517.1  ;-553.76  ;-2,977.7  ;-331.52  ;45.737  ;43.701
  ;91  ;1  ;-413.08  ;635.14  ;2,977.7  ;334.07  ;-45.737  ;14.531
  ;  ;2  ;413.06  ;-635.22  ;-2,977.7  ;-360.02  ;51.273  ;-14.531
  ;92  ;1  ;-296.49  ;697.29  ;2,977.7  ;352.03  ;-51.273  ;76.828
  ;  ;2  ;296.45  ;-697.36  ;-2,977.7  ;-377.98  ;57.351  ;-76.828
  ;93  ;1  ;-170.85  ;738.25  ;2,977.7  ;358.9  ;-57.351  ;141.3
  ;  ;2  ;170.81  ;-738.31  ;-2,977.7  ;-384.85  ;63.785  ;-141.3
  ;94  ;1  ;-72.955  ;754.29  ;2,977.7  ;363.11  ;-63.785  ;190.33
  ;  ;2  ;72.929  ;-754.32  ;-2,977.7  ;-376.11  ;67.078  ;-190.33
  ;95  ;1  ;-3,607  ;-3,104.6  ;-414.32  ;70.817  ;-43.129  ;-15.792
  ;  ;2  ;3,607  ;3,104.6  ;414.32  ;-69.012  ;29.598  ;15.792
  ;96  ;1  ;-3,981.3  ;-2,607.4  ;-414.32  ;70.482  ;-29.598  ;-6.6522
  ;  ;2  ;3,981.2  ;2,607.4  ;414.32  ;-66.871  ;6.873  ;6.6522
  ;97  ;1  ;-4,373.5  ;-1,876.4  ;-414.32  ;67.01  ;-6.873  ;5.061
  ;  ;2  ;4,373.4  ;1,876.4  ;414.32  ;-63.399  ;-9.4808  ;-5.061
  ;98  ;1  ;-4,632.8  ;-1,088.4  ;-414.32  ;61.557  ;9.4808  ;15.993
  ;  ;2  ;4,632.7  ;1,088.4  ;414.32  ;-57.946  ;-18.967  ;-15.993
  ;99  ;1  ;-4,751.4  ;-267.41  ;-414.32  ;54.289  ;18.967  ;25.813
  ;  ;2  ;4,751.3  ;267.4  ;414.32  ;-50.678  ;-21.298  ;-25.813
Beam-11(Circuler tube 1X0.06(16_GAUGE)(1)[9])  ;  ;  ;  ;  ;  ;  ;  ;
  ;100  ;1  ;-566.53  ;107.2  ;464.22  ;-139.61  ;21.928  ;-17.579
  ;  ;2  ;566.8  ;-107.46  ;-464.22  ;119.87  ;-17.363  ;17.579
  ;101  ;1  ;-566.8  ;107.47  ;464.22  ;-119.87  ;17.363  ;-17.579
  ;  ;2  ;567.06  ;-107.73  ;-464.22  ;100.13  ;-12.787  ;17.579
  ;102  ;1  ;-567.06  ;107.73  ;464.22  ;-100.13  ;12.786  ;-17.579
  ;  ;2  ;567.33  ;-107.99  ;-464.22  ;80.381  ;-8.1988  ;17.579
  ;103  ;1  ;-567.33  ;107.99  ;464.22  ;-80.381  ;8.1988  ;-17.579
  ;  ;2  ;567.59  ;-108.26  ;-464.22  ;60.637  ;-3.5999  ;17.579
  ;104  ;1  ;-567.59  ;108.26  ;464.22  ;-60.637  ;3.5999  ;-17.579
  ;  ;2  ;567.86  ;-108.52  ;-464.22  ;40.893  ;1.0102  ;17.579
  ;105  ;1  ;-567.86  ;108.52  ;464.22  ;-40.893  ;-1.0102  ;-17.579
  ;  ;2  ;568.12  ;-108.79  ;-464.22  ;21.148  ;5.6315  ;17.579
  ;106  ;1  ;-568.12  ;108.79  ;464.22  ;-21.148  ;-5.6315  ;-17.579
  ;  ;2  ;568.39  ;-109.05  ;-464.22  ;1.4039  ;10.264  ;17.579
  ;107  ;1  ;-568.39  ;109.05  ;464.22  ;-1.4039  ;-10.264  ;-17.579
  ;  ;2  ;568.65  ;-109.32  ;-464.22  ;-18.34  ;14.908  ;17.579
  ;108  ;1  ;-568.65  ;109.32  ;464.22  ;18.34  ;-14.908  ;-17.579
  ;  ;2  ;568.92  ;-109.58  ;-464.22  ;-38.085  ;19.563  ;17.579
Beam-12(Circuler tube 1X0.06(16_GAUGE)(56)[3])  ;  ;  ;  ;  ;  ;  ;  ;
  ;109  ;1  ;78,810  ;-11.231  ;-778.43  ;655.6  ;-3.1901  ;8.4305
  ;  ;2  ;-78,810  ;10.882  ;778.43  ;-624.03  ;2.7416  ;-8.4305
  ;110  ;1  ;78,810  ;-10.938  ;-778.43  ;624.03  ;-2.7416  ;8.431
  ;  ;2  ;-78,810  ;10.589  ;778.42  ;-592.45  ;2.305  ;-8.431
  ;111  ;1  ;78,810  ;-10.508  ;-778.43  ;592.45  ;-2.3047  ;8.4303
  ;  ;2  ;-78,810  ;10.159  ;778.42  ;-560.88  ;1.8856  ;-8.4303
  ;112  ;1  ;78,810  ;-10.236  ;-778.48  ;560.88  ;-1.8829  ;8.4309
